method_id,checkpoint_role,epoch,latent_name,count,mean_l2_norm,mean_dimension_std,median_dimension_std,total_variance,effective_rank,rank_95,top_eigenvalue_ratio
dvn_k3_w012,action_best,14,encoder_obs,17595,27.78444683443853,1.782152141500503,1.1731855616489781,3647.8489597572316,1.9515309094516693,4,0.8443342291035804
dvn_k3_w012,action_best,14,encoder_future,49980,27.785806586435783,1.8006172575686752,1.183954003745982,3742.1284492279,1.9233525175681097,4,0.8488795167336349
dvn_k3_w012,action_best,14,policy_z_obs,17595,1083.7922489521345,32.661636579898015,23.504572004095746,917192.2160692511,2.8453398443785147,3,0.6118156103036188
dvn_k3_w012,action_best,14,policy_z_goal,17595,957.8589368363134,45.45577562338713,40.583708534112766,1359700.412404229,3.767940282819869,5,0.5091528247991409
dvn_k3_w012,lfp_best,13,encoder_obs,17595,35.94194465659534,2.1356065079173185,1.3744931223259518,5528.645168400047,1.885026697080895,3,0.8358569784727905
dvn_k3_w012,lfp_best,13,encoder_future,49980,35.95305354133707,2.135940818017336,1.3762276923699792,5535.51126302473,1.882007541208728,3,0.8364512376223071
dvn_k3_w012,lfp_best,13,policy_z_obs,17595,1092.5292858713153,33.17021499677319,24.295818033908432,924798.3797314102,2.8155812067281487,3,0.5996067907921379
dvn_k3_w012,lfp_best,13,policy_z_goal,17595,832.686784118252,40.08261675746418,34.8567100197988,1053959.242909145,3.582863747953468,5,0.5800446366769961
dvn_k1_w012,action_best,5,encoder_obs,17595,57.08875810616269,6.66546360055704,5.441259416920173,36184.643495702105,1.089660864760904,1,0.9897519736271405
dvn_k1_w012,action_best,5,encoder_future,49980,56.21350200361401,6.491806295090106,5.2960365116198,34286.63401595641,1.0940998893512457,1,0.9892023526347296
dvn_k1_w012,action_best,5,policy_z_obs,17595,198.5758599617467,9.020980385950095,7.8382855571732435,52553.45848984987,3.5797985094419014,6,0.6849644352829534
dvn_k1_w012,action_best,5,policy_z_goal,17595,515.6998663070844,24.95331700636741,21.231021210684972,437253.09058024373,2.832116773193465,3,0.5953275501355778
dvn_k1_w012,lfp_best,13,encoder_obs,17595,37.556806531021294,3.9044029226065113,3.240233275983404,11216.438485191818,1.2945224612773685,1,0.9538187370552446
dvn_k1_w012,lfp_best,13,encoder_future,49980,37.341751954549345,3.8801180168199148,3.218871614215279,11072.519933479218,1.2966888114360335,1,0.9534399223642119
dvn_k1_w012,lfp_best,13,policy_z_obs,17595,1590.6838010464999,45.90623397956581,40.011799261873605,1328038.8179704952,3.699111938153174,6,0.6152926619932898
dvn_k1_w012,lfp_best,13,policy_z_goal,17595,3268.103500675436,131.08487882676067,117.16092599583686,11439352.163093101,2.496152317717271,3,0.6003646878555322
dvn_k5_w012,action_best,2,encoder_obs,17595,24.36481102718043,1.0156290698217458,0.8704397562154428,623.815241204506,18.95496177430718,18,0.14199507116501184
dvn_k5_w012,action_best,2,encoder_future,49980,24.3402486125253,0.9998891144773557,0.8542909294868615,608.2910059325412,19.05687151186333,18,0.1442763479209372
dvn_k5_w012,action_best,2,policy_z_obs,17595,97.58667535521884,2.8999438196667224,2.6854587922478,4965.626273216591,6.831886010821784,15,0.48011242463336096
dvn_k5_w012,action_best,2,policy_z_goal,17595,130.41158800133363,5.24298759747229,4.548563740565367,19202.303456892732,2.634639204126494,3,0.638352067724487
