scene,method,run,source_run,endpoint_error_m,path_completion_rate_pct,runner_status,failure_type,reported_success,endpoint_within_5m,validated_goal_success,strict_validated_success_1m,quantitative_protocol
indoor,LCP-Nav-LFP,prior,prior,0.976977,100.000,reported_goal,none,1,1,1,1,prior_plus_four_independent_repeats
indoor,LCP-Nav-LFP,repeat_1,source_repeat_1,0.954420,100.000,reported_goal,none,1,1,1,1,prior_plus_four_independent_repeats
indoor,LCP-Nav-LFP,repeat_2,source_repeat_2,1.142793,100.000,reported_goal,none,1,1,1,0,prior_plus_four_independent_repeats
indoor,LCP-Nav-LFP,repeat_3,source_repeat_3,1.147879,100.000,reported_goal,none,1,1,1,0,prior_plus_four_independent_repeats
indoor,LCP-Nav-LFP,repeat_4,source_repeat_4,0.959671,100.000,reported_goal,none,1,1,1,1,prior_plus_four_independent_repeats
indoor,ViNT,prior,prior,11.056791,82.682,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
indoor,ViNT,repeat_1,source_repeat_1,13.037986,6.145,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
indoor,ViNT,repeat_2,source_repeat_2,11.238886,49.721,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
indoor,ViNT,repeat_3,source_repeat_3,11.240861,51.397,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
indoor,ViNT,repeat_4,source_repeat_4,11.239921,50.838,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
forest,LCP-Nav-LFP,prior,prior,0.484990,100.000,reported_goal,none,1,1,1,1,prior_plus_four_independent_repeats
forest,LCP-Nav-LFP,repeat_1,source_repeat_1,19.351624,3.876,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
forest,LCP-Nav-LFP,repeat_2,source_repeat_2,0.936430,96.899,reported_goal,none,1,1,1,1,prior_plus_four_independent_repeats
forest,LCP-Nav-LFP,repeat_3,source_repeat_3,2.858231,97.674,reported_goal,none,1,1,1,0,prior_plus_four_independent_repeats
forest,LCP-Nav-LFP,repeat_4,source_repeat_4,2.864417,97.674,reported_goal,none,1,1,1,0,prior_plus_four_independent_repeats
forest,ViNT,prior,prior,14.522761,24.806,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
forest,ViNT,repeat_1,source_repeat_1,37.853533,52.713,timeout,timeout,0,0,0,0,prior_plus_four_independent_repeats
forest,ViNT,repeat_2,source_repeat_2,36.807644,47.287,timeout,timeout,0,0,0,0,prior_plus_four_independent_repeats
forest,ViNT,repeat_3,source_repeat_3,16.736430,48.062,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
forest,ViNT,repeat_4,source_repeat_4,18.651646,51.163,timeout,timeout,0,0,0,0,prior_plus_four_independent_repeats
campus,LCP-Nav-LFP,prior,prior,0.396963,97.917,reported_goal,none,1,1,1,1,prior_plus_four_independent_repeats
campus,LCP-Nav-LFP,repeat_1,source_repeat_1,3.049016,96.875,reported_goal,none,1,1,1,0,prior_plus_four_independent_repeats
campus,LCP-Nav-LFP,repeat_2,source_repeat_2,11.384774,64.583,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
campus,LCP-Nav-LFP,repeat_3,source_repeat_4,2.373412,94.792,collision_stall,collision,0,1,0,0,prior_plus_four_independent_repeats
campus,LCP-Nav-LFP,repeat_4,source_repeat_6,11.281884,64.583,collision_stall,collision,0,0,0,0,prior_plus_four_independent_repeats
campus,ViNT,prior,prior,19.038582,100.000,reported_goal,none,1,0,0,0,prior_plus_four_independent_repeats
campus,ViNT,repeat_1,source_repeat_1,19.297777,100.000,reported_goal,none,1,0,0,0,prior_plus_four_independent_repeats
campus,ViNT,repeat_2,source_repeat_2,20.459877,100.000,reported_goal,none,1,0,0,0,prior_plus_four_independent_repeats
campus,ViNT,repeat_3,source_repeat_3,22.628348,100.000,reported_goal,none,1,0,0,0,prior_plus_four_independent_repeats
campus,ViNT,repeat_4,source_repeat_4,20.595701,100.000,reported_goal,none,1,0,0,0,prior_plus_four_independent_repeats
